30,1,30
(1,30,3000,1500)
(1,22,12,34)
(1,24,27,1)
(1,23,7,45)
(2,1,21,12)
(2,12,7,37)
(3,2,34,14)
(3,29,39,19)
(3,9,25,10)
(3,12,14,32)
(3,7,16,39)
(4,3,39,38)
(4,12,8,22)
(4,23,36,20)
(5,4,31,37)
(5,13,21,18)
(5,19,24,15)
(6,5,39,50)
(6,29,36,7)
(6,13,22,22)
(6,7,33,15)
(6,27,18,27)
(7,6,16,16)
(8,7,27,13)
(8,2,9,35)
(8,18,43,21)
(8,4,28,1)
(9,8,31,14)
(9,2,31,40)
(9,30,42,27)
(10,9,46,8)
(10,8,40,39)
(10,24,25,31)
(10,20,32,10)
(10,18,9,48)
(11,10,9,26)
(11,2,22,35)
(11,23,28,18)
(12,11,19,8)
(12,2,31,20)
(13,12,28,19)
(13,15,7,33)
(13,3,47,18)
(14,13,13,7)
(14,25,28,41)
(15,14,49,43)
(15,18,45,7)
(16,15,35,50)
(16,9,15,25)
(16,30,29,6)
(16,3,35,44)
(16,13,45,7)
(16,23,4,1)
(17,16,6,47)
(17,24,47,40)
(17,23,6,40)
(18,17,48,46)
(18,13,16,13)
(19,18,45,47)
(19,10,14,19)
(19,6,20,29)
(19,4,9,31)
(20,19,40,27)
(20,1,30,12)
(21,20,28,24)
(21,12,40,6)
(21,9,32,2)
(22,21,20,33)
(22,4,9,29)
(22,10,47,6)
(23,22,49,13)
(23,2,24,19)
(23,4,17,47)
(23,14,37,13)
(24,23,46,39)
(24,14,2,9)
(24,15,30,17)
(24,25,43,7)
(24,11,49,18)
(25,24,40,15)
(25,30,31,48)
(25,26,37,43)
(25,2,37,19)
(26,25,17,43)
(27,26,45,10)
(27,25,7,5)
(27,24,24,44)
(27,16,18,4)
(28,27,25,23)
(29,28,16,42)
(29,25,35,37)
(29,26,1,46)
(29,23,22,24)
(29,20,37,42)
(30,29,40,24)
(30,25,16,10)
(30,21,41,41)
