35,1,35
(1,2,5,10)
(1,3,6,9)
(2,4,7,8)
(3,5,9,7)
(4,6,10,6)
(5,6,8,8)
(6,7,5,10)
(7,8,7,5)
(8,9,6,6)
(9,10,10,3)
(10,11,9,4)
(11,12,8,7)
(12,13,7,8)
(13,14,6,9)
(14,15,10,5)
(15,16,9,6)
(16,17,8,7)
(17,18,6,9)
(18,19,5,10)
(19,20,4,11)
(20,21,11,4)
(21,22,10,5)
(22,23,9,6)
(23,24,8,7)
(24,25,7,8)
(25,26,6,9)
(26,27,5,10)
(27,28,4,11)
(28,29,3,12)
(29,30,2,13)
(30,31,1,14)
(31,32,3,12)
(32,33,5,10)
(33,34,7,8)
(34,35,9,7)
(1,10,50,20)
(10,20,30,40)
(20,30,25,25)
(30,35,20,30)
(2,5,15,15)
(3,6,18,12)
(5,9,17,13)
(6,12,20,10)
(12,18,25,25)
(18,24,10,30)
(24,30,15,15)
(2,6,22,11)
(6,10,30,10)
(10,14,14,18)
(14,18,12,20)
(18,22,18,12)
(22,26,25,25)
(26,30,20,30)
(30,34,10,40)
(4,8,9,11)
(8,13,13,9)
(13,17,12,10)
(17,21,8,12)
(21,25,7,13)
(25,29,9,11)
(29,33,11,9)
(33,35,13,7)
(1,15,40,25)
(15,25,20,35)
(25,35,15,40)
(1,20,70,10)
(5,25,35,15)
(10,30,25,25)
(2,32,60,30)
(8,19,45,10)
